samples_name;CHLA;site
M-004-12-8;39.00065011;Mud
M-004-CTR-1;35.73059066;Mud
M-004-CTR-4;30.09521158;Mud
M-004-CTR-7;28.95420056;Mud
M-024-C12-2;25.06113588;Mud
M-024-C12-5;18.08884016;Mud
M-024-CTR-4;21.59880947;Mud
M-024-CTR-1;23.5494758;Mud
M-024-C12-8;37.93862344;Mud
M-024-CTR-7;31.37924964;Mud
M-000-C12-1-cc;57.14650613;Mud
M-000-C12-2-cc;38.96628218;Mud
M-000-C12-3-cc;42.53273019;Mud
M-001-C12-1-cc;26.66506838;Mud
M-001-C12-2-cc;39.1251904;Mud
M-001-C12-3-cc;40.95916907;Mud
M-002-C12-1-cc;48.09832723;Mud
M-002-C12-2-cc;53.52966171;Mud
M-002-C12-3-cc;48.24030957;Mud
M-003-C12-1-cc;55.76148799;Mud
M-003-C12-2-cc;64.75312242;Mud
M-003-C12-3-cc;60.55399674;Mud
M-004-C12-1-cc;37.90983689;Mud
M-004-C12-2-cc;28.87204234;Mud
M-004-C12-3-cc;41.594422;Mud
M-004-CTR-1-cc;73.22376662;Mud
M-004-CTR-2-cc;63.96366386;Mud
M-004-CTR-3-cc;43.68786911;Mud
M-012-C12-1-cc;25.11346012;Mud
M-012-C12-2-cc;20.69683476;Mud
M-012-C12-3-cc;26.89425524;Mud
M-024-C12-1-cc;41.24656355;Mud
M-024-C12-2-cc;54.53763795;Mud
M-024-C12-3-cc;26.67399107;Mud
M-024-CTR-1-cc;57.48801723;Mud
M-024-CTR-2-cc;44.99068811;Mud
M-024-CTR-3-cc;47.80688976;Mud
M-120-C12-1-cc;29.37583732;Mud
M-120-C12-2-cc;37.11077208;Mud
M-120-C12-3-cc;32.89551394;Mud
M-120-CTR-1-cc;49.51940384;Mud
M-120-CTR-2-cc;44.8392303;Mud
M-120-CTR-3-cc;50.56881218;Mud
S-003-C12-2;7.253445575;Sand
S-003-C12-5;5.140925143;Sand
S-003-C12-8;4.922851602;Sand
S-003-CTR-1;5.569453928;Sand
S-003-CTR-4;6.077984779;Sand
S-003-CTR-7;5.009177823;Sand
S-024-C12-2;6.60642477;Sand
S-024-C12-5;5.886514152;Sand
S-024-C12-8;5.035939609;Sand
S-024-CTR-1;4.816743782;Sand
S-024-CTR-4;3.656985595;Sand
S-024-CTR-7;5.035585804;Sand
S-000-CTR-1-cc;5.908128854;Sand
S-000-CTR-2-cc;5.570588379;Sand
S-000-CTR-3-CC;5.799021428;Sand
S-001-C12-1-CC;5.194004508;Sand
S-001-C12-2-CC;5.703606831;Sand
S-001-C12-3-CC;6.115189379;Sand
S-002-C12-1-CC;5.169567853;Sand
S-002-C12-2-CC;5.102720072;Sand
S-002-C12-3-CC;5.577913419;Sand
S-003-C12-1-CC;5.526048157;Sand
S-003-C12-2-CC;5.497492621;Sand
S-003-C12-3-CC;5.343369955;Sand
S-004-CTR-1-CC;5.380712048;Sand
S-004-CTR-2-CC;5.530013059;Sand
S-004-CTR-3-CC;5.259701441;Sand
S-012-C12-1-CC;4.594796452;Sand
S-012-C12-2-CC;5.794369741;Sand
S-012-C12-3-CC;5.164168362;Sand
S-024-C12-1-CC;5.468737931;Sand
S-024-C12-2-CC;6.311574072;Sand
S-024-C12-3-CC;5.416377802;Sand
S-024-CTR-1-CC;4.81231292;Sand
S-024-CTR-2-CC;4.852604506;Sand
S-024-CTR-3-CC;5.310971039;Sand
